Employee_ID,Date,Shift,Check_In,Check_Out,Hours_Worked,OT_Hours,Status
Emp_001,2024-01-01,Late,,,0.0,0.0,Holiday
Emp_001,2024-01-02,Late,2024-01-02 11:13:00,2024-01-02 21:46:33,10.56,2.56,Work
Emp_001,2024-01-03,Late,2024-01-03 11:10:00,2024-01-03 20:16:58,9.12,1.12,Work
Emp_001,2024-01-04,Late,2024-01-04 10:48:00,2024-01-04 21:06:06,10.3,2.3,Work
Emp_001,2024-01-05,Late,2024-01-05 11:08:00,2024-01-05 18:58:00,7.83,0.0,Work
Emp_001,2024-01-06,Late,2024-01-06 11:12:00,2024-01-06 15:12:00,4.0,4.0,Weekend OT
Emp_001,2024-01-07,Late,,,0.0,0.0,Weekend
Emp_001,2024-01-08,Late,2024-01-08 11:06:00,2024-01-08 20:08:46,9.05,1.05,Work
Emp_001,2024-01-09,Late,2024-01-09 11:15:00,2024-01-09 20:50:03,9.58,1.58,Work
Emp_001,2024-01-10,Late,2024-01-10 11:14:00,2024-01-10 21:28:12,10.24,2.24,Work
Emp_001,2024-01-11,Late,2024-01-11 11:04:00,2024-01-11 18:51:00,7.78,0.0,Work
Emp_001,2024-01-12,Late,2024-01-12 10:51:00,2024-01-12 19:58:48,9.13,1.13,Work
Emp_001,2024-01-13,Late,,,0.0,0.0,Weekend
Emp_001,2024-01-14,Late,,,0.0,0.0,Weekend
Emp_001,2024-01-15,Late,,,0.0,0.0,Holiday
Emp_001,2024-01-16,Late,2024-01-16 10:53:00,2024-01-16 20:20:42,9.46,1.46,Work
Emp_001,2024-01-17,Late,2024-01-17 11:12:00,2024-01-17 21:11:25,9.99,1.99,Work
Emp_001,2024-01-18,Late,,,0.0,0.0,Leave
Emp_001,2024-01-19,Late,2024-01-19 10:48:00,2024-01-19 21:18:38,10.51,2.51,Work
Emp_001,2024-01-20,Late,,,0.0,0.0,Weekend
Emp_001,2024-01-21,Late,,,0.0,0.0,Weekend
Emp_001,2024-01-22,Late,2024-01-22 11:13:00,2024-01-22 19:23:00,8.17,0.17,Work
Emp_001,2024-01-23,Late,2024-01-23 10:54:00,2024-01-23 18:52:00,7.97,0.0,Work
Emp_001,2024-01-24,Late,2024-01-24 10:59:00,2024-01-24 20:22:31,9.39,1.39,Work
Emp_001,2024-01-25,Late,,,0.0,0.0,Leave
Emp_001,2024-01-26,Late,2024-01-26 11:00:00,2024-01-26 18:59:00,7.98,0.0,Work
Emp_001,2024-01-27,Late,,,0.0,0.0,Weekend
Emp_001,2024-01-28,Late,,,0.0,0.0,Weekend
Emp_001,2024-01-29,Late,2024-01-29 11:12:00,2024-01-29 19:25:00,8.22,0.22,Work
Emp_001,2024-01-30,Late,2024-01-30 10:45:00,2024-01-30 20:35:48,9.85,1.85,Work
Emp_001,2024-01-31,Late,2024-01-31 10:52:00,2024-01-31 21:29:51,10.63,2.63,Work
Emp_001,2024-02-01,Late,2024-02-01 10:47:00,2024-02-01 18:58:00,8.18,0.18,Work
Emp_001,2024-02-02,Late,2024-02-02 10:51:00,2024-02-02 19:03:00,8.2,0.2,Work
Emp_001,2024-02-03,Late,,,0.0,0.0,Weekend
Emp_001,2024-02-04,Late,,,0.0,0.0,Weekend
Emp_001,2024-02-05,Late,2024-02-05 11:00:00,2024-02-05 19:14:00,8.23,0.23,Work
Emp_001,2024-02-06,Late,2024-02-06 10:47:00,2024-02-06 18:53:00,8.1,0.1,Work
Emp_001,2024-02-07,Late,2024-02-07 10:45:00,2024-02-07 18:44:00,7.98,0.0,Work
Emp_001,2024-02-08,Late,2024-02-08 10:45:00,2024-02-08 18:52:00,8.12,0.12,Work
Emp_001,2024-02-09,Late,2024-02-09 10:51:00,2024-02-09 21:16:16,10.42,2.42,Work
Emp_001,2024-02-10,Late,,,0.0,0.0,Weekend
Emp_001,2024-02-11,Late,,,0.0,0.0,Weekend
Emp_001,2024-02-12,Late,2024-02-12 10:51:00,2024-02-12 19:04:00,8.22,0.22,Work
Emp_001,2024-02-13,Late,2024-02-13 11:14:00,2024-02-13 21:26:31,10.21,2.21,Work
Emp_001,2024-02-14,Late,2024-02-14 11:13:00,2024-02-14 19:04:00,7.85,0.0,Work
Emp_001,2024-02-15,Late,2024-02-15 11:06:00,2024-02-15 19:00:00,7.9,0.0,Work
Emp_001,2024-02-16,Late,2024-02-16 11:09:00,2024-02-16 21:03:47,9.91,1.91,Work
Emp_001,2024-02-17,Late,,,0.0,0.0,Weekend
Emp_001,2024-02-18,Late,,,0.0,0.0,Weekend
Emp_001,2024-02-19,Late,,,0.0,0.0,Holiday
Emp_001,2024-02-20,Late,2024-02-20 11:10:00,2024-02-20 20:52:45,9.71,1.71,Work
Emp_001,2024-02-21,Late,2024-02-21 10:45:00,2024-02-21 18:59:00,8.23,0.23,Work
Emp_001,2024-02-22,Late,,,0.0,0.0,Leave
Emp_001,2024-02-23,Late,2024-02-23 10:47:00,2024-02-23 20:48:17,10.02,2.02,Work
Emp_001,2024-02-24,Late,,,0.0,0.0,Weekend
Emp_001,2024-02-25,Late,,,0.0,0.0,Weekend
Emp_001,2024-02-26,Late,2024-02-26 10:56:00,2024-02-26 19:07:00,8.18,0.18,Work
Emp_001,2024-02-27,Late,2024-02-27 11:08:00,2024-02-27 19:09:00,8.02,0.02,Work
Emp_001,2024-02-28,Late,2024-02-28 11:10:00,2024-02-28 19:24:00,8.23,0.23,Work
Emp_001,2024-02-29,Late,2024-02-29 10:47:00,2024-02-29 18:48:00,8.02,0.02,Work
Emp_001,2024-03-01,Late,2024-03-01 11:11:00,2024-03-01 18:57:00,7.77,0.0,Work
Emp_001,2024-03-02,Late,,,0.0,0.0,Weekend
Emp_001,2024-03-03,Late,2024-03-03 10:45:00,2024-03-03 14:45:00,4.0,4.0,Weekend OT
Emp_001,2024-03-04,Late,2024-03-04 11:14:00,2024-03-04 21:12:44,9.98,1.98,Work
Emp_001,2024-03-05,Late,2024-03-05 11:07:00,2024-03-05 19:02:00,7.92,0.0,Work
Emp_001,2024-03-06,Late,2024-03-06 11:01:00,2024-03-06 19:09:00,8.13,0.13,Work
Emp_001,2024-03-07,Late,2024-03-07 10:46:00,2024-03-07 18:41:00,7.92,0.0,Work
Emp_001,2024-03-08,Late,2024-03-08 11:00:00,2024-03-08 19:12:00,8.2,0.2,Work
Emp_001,2024-03-09,Late,,,0.0,0.0,Weekend
Emp_001,2024-03-10,Late,,,0.0,0.0,Weekend
Emp_001,2024-03-11,Late,2024-03-11 11:12:00,2024-03-11 19:15:00,8.05,0.05,Work
Emp_001,2024-03-12,Late,2024-03-12 11:15:00,2024-03-12 19:06:00,7.85,0.0,Work
Emp_001,2024-03-13,Late,2024-03-13 10:45:00,2024-03-13 18:36:00,7.85,0.0,Work
Emp_001,2024-03-14,Late,2024-03-14 10:45:00,2024-03-14 18:54:00,8.15,0.15,Work
Emp_001,2024-03-15,Late,2024-03-15 11:07:00,2024-03-15 19:01:00,7.9,0.0,Work
Emp_001,2024-03-16,Late,,,0.0,0.0,Weekend
Emp_001,2024-03-17,Late,,,0.0,0.0,Weekend
Emp_001,2024-03-18,Late,2024-03-18 11:09:00,2024-03-18 19:10:00,8.02,0.02,Work
Emp_001,2024-03-19,Late,2024-03-19 11:00:00,2024-03-19 18:49:00,7.82,0.0,Work
Emp_001,2024-03-20,Late,2024-03-20 11:11:00,2024-03-20 20:44:27,9.56,1.56,Work
Emp_001,2024-03-21,Late,2024-03-21 11:00:00,2024-03-21 19:08:00,8.13,0.13,Work
Emp_001,2024-03-22,Late,2024-03-22 10:45:00,2024-03-22 18:40:00,7.92,0.0,Work
Emp_001,2024-03-23,Late,,,0.0,0.0,Weekend
Emp_001,2024-03-24,Late,,,0.0,0.0,Weekend
Emp_001,2024-03-25,Late,2024-03-25 11:14:00,2024-03-25 20:26:10,9.2,1.2,Work
Emp_001,2024-03-26,Late,2024-03-26 11:13:00,2024-03-26 19:11:00,7.97,0.0,Work
Emp_001,2024-03-27,Late,2024-03-27 11:06:00,2024-03-27 19:19:00,8.22,0.22,Work
Emp_001,2024-03-28,Late,2024-03-28 10:45:00,2024-03-28 20:44:16,9.99,1.99,Work
Emp_001,2024-03-29,Late,2024-03-29 11:08:00,2024-03-29 18:59:00,7.85,0.0,Work
Emp_001,2024-03-30,Late,,,0.0,0.0,Weekend
Emp_001,2024-03-31,Late,,,0.0,0.0,Weekend
Emp_002,2024-01-01,Early,,,0.0,0.0,Holiday
Emp_002,2024-01-02,Early,2024-01-02 07:11:00,2024-01-02 15:18:00,8.12,0.12,Work
Emp_002,2024-01-03,Early,2024-01-03 07:14:00,2024-01-03 15:11:00,7.95,0.0,Work
Emp_002,2024-01-04,Early,2024-01-04 06:52:00,2024-01-04 14:38:00,7.77,0.0,Work
